time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,city,official_name
2009-06-18,30.8,26.4,28.0,4.2,4.2,4.9,Nha Trang,Nha Trang
2009-06-19,31.3,26.2,28.9,0.5,0.5,4.5,Nha Trang,Nha Trang
2009-06-20,32.6,26.9,29.6,0.0,0.0,5.1,Nha Trang,Nha Trang
2009-06-21,32.3,27.2,29.5,2.4,2.4,6.0,Nha Trang,Nha Trang
2009-06-22,32.2,27.0,29.3,2.5,2.5,5.4,Nha Trang,Nha Trang
2009-06-23,32.1,26.8,29.6,3.5,3.5,5.0,Nha Trang,Nha Trang
2009-06-24,32.2,26.6,29.1,3.0,3.0,5.0,Nha Trang,Nha Trang
2009-06-25,33.1,26.9,29.7,1.3,1.3,5.0,Nha Trang,Nha Trang
2009-06-26,32.4,27.2,29.4,7.5,7.5,5.1,Nha Trang,Nha Trang
2009-06-27,32.2,26.0,29.0,7.4,7.4,5.2,Nha Trang,Nha Trang
2009-06-28,31.4,26.6,28.8,7.8,7.8,4.7,Nha Trang,Nha Trang
2009-06-29,31.4,26.3,28.6,7.8,7.8,4.6,Nha Trang,Nha Trang
2009-06-30,31.7,26.2,28.9,1.8,1.8,5.8,Nha Trang,Nha Trang
2009-07-01,31.3,26.2,27.7,8.2,8.2,7.6,Nha Trang,Nha Trang
2009-07-02,31.3,25.7,28.1,12.6,12.6,6.0,Nha Trang,Nha Trang
2009-07-03,30.9,26.8,28.3,19.5,19.5,7.4,Nha Trang,Nha Trang
2009-07-04,31.3,26.4,28.2,21.3,21.3,5.4,Nha Trang,Nha Trang
2009-07-05,31.9,26.5,28.4,9.2,9.2,5.5,Nha Trang,Nha Trang
2009-07-06,31.7,26.1,28.5,9.6,9.6,5.2,Nha Trang,Nha Trang
2009-07-07,32.6,26.0,28.6,1.4,1.4,10.1,Nha Trang,Nha Trang
2009-07-08,31.0,25.7,27.8,9.0,9.0,4.6,Nha Trang,Nha Trang
2009-07-09,32.3,25.9,28.5,4.5,4.5,5.5,Nha Trang,Nha Trang
2009-07-10,32.2,25.8,28.7,4.6,4.6,4.5,Nha Trang,Nha Trang
2009-07-11,32.4,26.2,28.7,7.3,7.3,5.4,Nha Trang,Nha Trang
2009-07-12,31.0,27.0,28.6,21.9,21.9,6.8,Nha Trang,Nha Trang
2009-07-13,29.4,26.8,27.9,3.5,3.5,4.6,Nha Trang,Nha Trang
2009-07-14,29.6,26.0,27.8,1.7,1.7,4.6,Nha Trang,Nha Trang
2009-07-15,30.1,25.6,27.3,7.9,7.9,8.0,Nha Trang,Nha Trang
2009-07-16,30.6,25.4,27.6,11.3,11.3,5.6,Nha Trang,Nha Trang
2009-07-17,28.6,25.8,27.3,6.8,6.8,4.6,Nha Trang,Nha Trang
2009-07-18,28.8,26.1,27.5,3.4,3.4,5.0,Nha Trang,Nha Trang
2009-07-19,29.9,26.1,27.8,1.9,1.9,5.1,Nha Trang,Nha Trang
2009-07-20,30.7,26.8,28.4,10.1,10.1,4.7,Nha Trang,Nha Trang
2009-07-21,30.5,26.4,28.0,22.6,22.6,4.8,Nha Trang,Nha Trang
2009-07-22,29.5,24.6,27.2,27.2,27.2,4.0,Nha Trang,Nha Trang
2009-07-23,30.6,25.6,28.0,3.0,3.0,4.9,Nha Trang,Nha Trang
2009-07-24,32.1,26.3,29.0,0.1,0.1,5.5,Nha Trang,Nha Trang
2009-07-25,33.7,27.0,29.8,0.3,0.3,6.4,Nha Trang,Nha Trang
2009-07-26,32.6,26.0,29.0,1.6,1.6,7.4,Nha Trang,Nha Trang
2009-07-27,33.1,25.8,29.2,1.0,1.0,7.8,Nha Trang,Nha Trang
2009-07-28,32.2,27.5,29.4,0.0,0.0,7.6,Nha Trang,Nha Trang
2009-07-29,32.4,27.0,29.1,1.6,1.6,8.1,Nha Trang,Nha Trang
2009-07-30,31.7,26.7,29.1,0.0,0.0,9.0,Nha Trang,Nha Trang
2009-07-31,30.9,26.0,28.3,4.9,4.9,7.6,Nha Trang,Nha Trang
2009-08-01,30.0,26.0,27.9,3.1,3.1,4.7,Nha Trang,Nha Trang
2009-08-02,28.4,25.4,26.9,6.0,6.0,5.1,Nha Trang,Nha Trang
2009-08-03,31.6,24.9,28.1,1.2,1.2,10.8,Nha Trang,Nha Trang
2009-08-04,32.0,26.3,29.1,0.5,0.5,7.6,Nha Trang,Nha Trang
2009-08-05,32.5,25.7,29.4,0.0,0.0,8.7,Nha Trang,Nha Trang
2009-08-06,32.9,27.7,29.9,1.0,1.0,9.0,Nha Trang,Nha Trang
2009-08-07,34.2,27.2,30.3,0.0,0.0,12.4,Nha Trang,Nha Trang
2009-08-08,34.0,27.4,30.0,0.0,0.0,9.3,Nha Trang,Nha Trang
2009-08-09,34.5,27.3,30.2,0.0,0.0,8.5,Nha Trang,Nha Trang
2009-08-10,34.4,27.5,30.4,0.2,0.2,8.7,Nha Trang,Nha Trang
2009-08-11,33.1,28.0,29.8,4.1,4.1,4.3,Nha Trang,Nha Trang
2009-08-12,32.3,27.2,29.4,2.9,2.9,6.0,Nha Trang,Nha Trang
2009-08-13,32.2,27.4,29.3,4.6,4.6,8.4,Nha Trang,Nha Trang
2009-08-14,32.1,26.9,29.1,2.5,2.5,7.9,Nha Trang,Nha Trang
2009-08-15,32.5,26.7,29.2,2.0,2.0,8.6,Nha Trang,Nha Trang
2009-08-16,31.7,26.6,28.6,3.1,3.1,9.5,Nha Trang,Nha Trang
2009-08-17,31.5,26.0,28.2,3.1,3.1,8.5,Nha Trang,Nha Trang
2009-08-18,30.5,24.9,27.6,2.1,2.1,9.8,Nha Trang,Nha Trang
2009-08-19,30.8,26.1,28.0,2.1,2.1,7.1,Nha Trang,Nha Trang
2009-08-20,31.8,25.7,28.1,7.0,7.0,5.6,Nha Trang,Nha Trang
2009-08-21,32.0,25.2,28.3,9.4,9.4,7.1,Nha Trang,Nha Trang
2009-08-22,32.1,25.7,28.4,17.3,17.3,7.5,Nha Trang,Nha Trang
2009-08-23,31.9,26.1,28.2,11.1,11.1,9.7,Nha Trang,Nha Trang
2009-08-24,29.6,25.2,27.4,12.9,12.9,7.0,Nha Trang,Nha Trang
2009-08-25,31.0,25.2,27.6,5.9,5.9,6.7,Nha Trang,Nha Trang
2009-08-26,30.4,24.9,27.3,3.4,3.4,7.5,Nha Trang,Nha Trang
2009-08-27,30.1,24.6,27.2,5.9,5.9,7.7,Nha Trang,Nha Trang
2009-08-28,31.2,26.0,28.3,13.8,13.8,8.2,Nha Trang,Nha Trang
2009-08-29,31.5,26.3,28.2,23.0,23.0,6.8,Nha Trang,Nha Trang
2009-08-30,31.8,26.7,28.7,15.3,15.3,5.4,Nha Trang,Nha Trang
2009-08-31,31.1,26.0,27.8,23.8,23.8,5.2,Nha Trang,Nha Trang
2009-09-01,31.1,24.6,27.1,15.7,15.7,5.5,Nha Trang,Nha Trang
2009-09-02,31.2,24.6,27.0,10.8,10.8,5.1,Nha Trang,Nha Trang
2009-09-03,30.6,25.4,28.1,0.2,0.2,6.8,Nha Trang,Nha Trang
2009-09-04,30.7,26.0,27.9,2.8,2.8,6.5,Nha Trang,Nha Trang
2009-09-05,29.8,26.7,27.6,7.1,7.1,4.8,Nha Trang,Nha Trang
2009-09-06,28.8,25.3,27.2,18.9,18.9,4.7,Nha Trang,Nha Trang
2009-09-07,28.2,25.0,26.7,17.5,17.5,4.7,Nha Trang,Nha Trang
2009-09-08,29.6,24.5,27.3,8.5,8.5,5.8,Nha Trang,Nha Trang
2009-09-09,27.6,24.8,26.4,16.0,16.0,5.2,Nha Trang,Nha Trang
2009-09-10,29.6,24.9,26.7,15.7,15.7,4.0,Nha Trang,Nha Trang
2009-09-11,30.3,24.7,27.2,22.2,22.2,4.6,Nha Trang,Nha Trang
2009-09-12,30.6,25.9,28.1,10.7,10.7,4.4,Nha Trang,Nha Trang
2009-09-13,31.0,27.0,28.4,16.6,16.6,5.1,Nha Trang,Nha Trang
2009-09-14,30.6,25.7,27.7,17.1,17.1,5.0,Nha Trang,Nha Trang
2009-09-15,31.3,25.7,28.3,20.4,20.4,5.6,Nha Trang,Nha Trang
2009-09-16,31.0,26.5,28.2,6.2,6.2,4.9,Nha Trang,Nha Trang
2009-09-17,31.0,25.6,27.9,6.5,6.5,6.7,Nha Trang,Nha Trang
2009-09-18,30.6,25.8,28.0,6.8,6.8,6.7,Nha Trang,Nha Trang
2009-09-19,30.6,25.9,27.9,6.1,6.1,5.5,Nha Trang,Nha Trang
2009-09-20,32.1,25.4,28.2,2.1,2.1,5.2,Nha Trang,Nha Trang
2009-09-21,32.4,25.1,28.5,1.8,1.8,5.4,Nha Trang,Nha Trang
2009-09-22,30.9,25.1,27.2,13.1,13.1,4.7,Nha Trang,Nha Trang
2009-09-23,29.6,24.5,26.7,8.1,8.1,4.9,Nha Trang,Nha Trang
2009-09-24,30.2,25.1,27.3,2.0,2.0,5.4,Nha Trang,Nha Trang
2009-09-25,30.4,25.5,27.4,29.5,29.5,5.4,Nha Trang,Nha Trang
2009-09-26,29.0,24.4,26.5,12.1,12.1,4.7,Nha Trang,Nha Trang
2009-09-27,30.3,25.0,27.3,1.4,1.4,8.9,Nha Trang,Nha Trang
2009-09-28,28.0,25.2,26.5,13.7,13.7,8.8,Nha Trang,Nha Trang
2009-09-29,28.7,24.8,26.9,11.0,11.0,12.8,Nha Trang,Nha Trang
2009-09-30,29.8,25.5,27.4,1.3,1.3,4.8,Nha Trang,Nha Trang
2009-10-01,30.2,24.1,26.8,6.2,6.2,5.4,Nha Trang,Nha Trang
2009-10-02,29.6,24.7,26.9,16.0,16.0,6.3,Nha Trang,Nha Trang
2009-10-03,29.6,25.1,26.8,5.8,5.8,7.3,Nha Trang,Nha Trang
2009-10-04,29.5,24.5,26.7,2.2,2.2,6.9,Nha Trang,Nha Trang
2009-10-05,29.4,24.9,26.7,2.3,2.3,6.5,Nha Trang,Nha Trang
2009-10-06,29.7,24.8,27.0,1.3,1.3,7.9,Nha Trang,Nha Trang
2009-10-07,28.6,24.8,26.5,8.8,8.8,6.2,Nha Trang,Nha Trang
2009-10-08,28.4,23.9,26.0,12.5,12.5,6.6,Nha Trang,Nha Trang
2009-10-09,28.2,24.4,25.7,21.3,21.3,7.7,Nha Trang,Nha Trang
2009-10-10,29.0,23.9,25.8,22.9,22.9,8.4,Nha Trang,Nha Trang
2009-10-11,28.3,23.2,26.3,15.5,15.5,7.4,Nha Trang,Nha Trang
2009-10-12,29.5,25.2,27.3,3.3,3.3,5.5,Nha Trang,Nha Trang
2009-10-13,30.4,23.8,27.1,6.7,6.7,4.6,Nha Trang,Nha Trang
2009-10-14,28.9,24.2,26.3,8.1,8.1,7.7,Nha Trang,Nha Trang
2009-10-15,29.4,25.0,26.8,2.0,2.0,7.4,Nha Trang,Nha Trang
2009-10-16,27.8,24.5,25.9,13.4,13.4,5.1,Nha Trang,Nha Trang
2009-10-17,27.1,23.8,25.5,18.7,18.7,5.8,Nha Trang,Nha Trang
2009-10-18,30.5,23.3,26.6,2.8,2.8,5.8,Nha Trang,Nha Trang
